dataset,id,fp_sol,Address,SolidityVersion,property,SWC,DASP
JiuZhou,NoPushButNoPull,d71cb2f717636377740436673d1dcc9b,,0.6.2,[],[],[]
JiuZhou,NoReentranceBySend,4a4837d1c628fae97c22d8bb39b40fbd,,0.6.2,[],[],[]
JiuZhou,NoDeprecated,625e0ae619014280b489f215b8beef48,,0.6.2,[],[],[]
JiuZhou,dowhileContinueIn050,f063cdc48d1d12f580289e9954daa976,,0.5.0,[],[],[]
JiuZhou,NoFalseOrder,53844e55fbaa3f5af497297a11c3ca29,,0.5.16,[],[],[]
JiuZhou,gray_ ArbitraryWrite,3429415407626a1246b53444471dd625,,0.6.2,[],[],[]
JiuZhou,gray_BobAnswer,9c2315144520b52918c1ea16c4895f51,,0.6.2,[],[],[]
JiuZhou,NoReentranceByTransfer,32bcfb9e179885981f5723508c10f1b1,,0.6.2,[],[],[]
JiuZhou,NoReplayAttack,5734a4453bb917eb504f91c9686d73e2,,0.6.2,[],[],[]
JiuZhou,NoPreSentEther,937fce5301f17228271e13f48fc9ac89,,0.6.2,[],[],[]
JiuZhou,NoRequireError,b034f1c33a31e7874066edd7833b5320,,0.6.2,[],[],[]
JiuZhou,NoPrivateModifier,2e87c75a4e684b7d6d9c090e07f3af43,,0.6.2,[],[],[]
JiuZhou,gray_DowhileContinue,87ff811a19938ccecda11f4bf378cd5c,,0.4.26,[],[],[]
JiuZhou,NoReturnInCons,fc315b19f0d4629032969dae3a4fa14b,,0.6.2,[],[],[]
JiuZhou,privateModifier,ec3daf7826176e1719af886afdc202fd,,0.6.2,['Public data'],[136],[10]
JiuZhou,NoUnhandledException2,df422d23c78c887b61c9c8756264f3f3,,0.6.2,[],[],[]
JiuZhou,NoRevertError,b57aabdb7a5548fa958ded58681753e0,,0.6.2,[],[],[]
JiuZhou,NoHardCodeAddress,f643dbc3bfb94b20c1b275ca79c8646e,,0.6.2,[],[],[]
JiuZhou,NoShadowingState,683c888b9be160f85a44380779952931,,0.5.16,[],[],[]
JiuZhou,NoShortAddressAttack,9b4463aab14b1a17e23c21ff9634819f,,0.6.2,[],[],[]
JiuZhou,NoSigWrongPara,7bebb71ff57f3d4ce138b59ded90501e,,0.6.2,[],[],[]
JiuZhou,NoImmutableToConstant,f1db9af25421b428e67ac0e456af91d8,,0.6.2,[],[],[]
JiuZhou,NoSuicideEasily,7356756e1cc8743173dd25420cfb2993,,0.6.2,[],[],[]
JiuZhou,NoImplicitVisibility,55cb97887cddcc527ef45c3e3053f550,,0.6.2,[],[],[]
JiuZhou,NoInfiniteLoop,b7bd4ae865662908993f5895ef5e113f,,0.6.2,[],[],[]
JiuZhou,NoIntegerSignednessError,7fa2835457a05ecd631c5d23a48deabd,,0.6.2,[],[],[]
JiuZhou,approve,86b74ca754fe81a08555649dff7e67e7,,0.6.2,['Transaction order dependence'],[114],[7]
JiuZhou,NoTooManyDigits,9f32bbb523e61ee07d3ab9068b17ffaa,,0.6.2,[],[],[]
JiuZhou,NoLockedMoney,0d379be1f89da0c9303fb0bf0000422d,,0.6.2,[],[],[]
JiuZhou,NoTooManyDigits1,f6747631153a17dc01dc6606f7284f6b,,0.6.2,[],[],[]
JiuZhou,NoMissConstructor,851392988cfb2229e96fb244ef2de5b1,,0.6.2,[],[],[]
JiuZhou,NoTruncationError,7596d00bca4f306dbb95eb75fcecf0f5,,0.6.2,[],[],[]
JiuZhou,NoTruncationError1,1cf153af08c7cae772599957cbc3b779,,0.6.2,[],[],[]
JiuZhou,NoUncappedVersion,0b6b4b6801e2923eefbab61b93adf5ee,,0.6.0,[],[],[]
JiuZhou,NoUncappedVersion1,969a3b0eda87cb381e7e7b184cebf6d5,,0.5.0,[],[],[]
JiuZhou,NoUnderflow,4ba742ea146ccabe52097cf7bfa3452e,,0.6.2,[],[],[]
JiuZhou,NoUnhandledException1,ba018e49d0d07a3cd716a67d3e6de000,,0.6.2,[],[],[]
JiuZhou,NoUninitLocalVar,baae7a4f6f926a66407b30e31c8f9323,,0.6.2,[],[],[]
JiuZhou,NoMissConstructor1,77fb80952ec24fe138eb40680cf3e345,,0.4.26,[],[],[]
JiuZhou,complexFallback,240a616e476949c576890ec80badfc2f,,0.6.2,['Complex fallback function'],[],[5]
JiuZhou,NoNestedCall,ec576651a1fc20bacd0201358c6c1c38,,0.6.2,[],[],[]
JiuZhou,replayAttack2,91ccd3e999b8b46d20346233a4bf94ee,,0.6.2,['Replay attack'],[117],[2]
JiuZhou,NoOverflow,1ca318bb82d5b2a6ebf9b840b5dd7b13,,0.6.2,[],[],[]
JiuZhou,NoOverwhelming,7a1a52c5c2027874be2a4b8386d5535c,,0.6.2,[],[],[]
JiuZhou,HashCollision,d75ee0879c759e14e2c1c0553dd5f148,,0.6.2,['Hash Collisions With Multiple Variable Length Arguments'],[133],[10]
JiuZhou,ImmutableConstant,2ad455fca27f80c82c8003151942be9a,,0.6.2,['Invariant is not declared constant'],[],[10]
JiuZhou,NoUninitStorage,d7684581d996c56e8a900e0a868e8d16,,0.4.26,[],[],[]
JiuZhou,ImplicitVisibility,b693081356bb432754f33a022e3a842f,,0.4.26,['Implicit visibility level'],[108],[2]
JiuZhou,NoUntrustedView,f63943b8219af808207464d88564d739,,0.4.26,[],[],[]
JiuZhou,NoVarIsNotSafe,22dd83f9ff98f87ccd30bb50dcb18b4b,,0.6.2,[],[],[]
JiuZhou,NoWriteStorage,b0c1599142e6be971f5ba94a4264a64b,,0.6.2,[],[],[]
JiuZhou,NoWrongName,354f6a24c774fc51e33a83897b5f34f7,,0.6.2,[],[],[]
JiuZhou,NoWrongOpe,67724334ad1966a4773dbef819254de9,,0.4.26,[],[],[]
JiuZhou,NobadTxorigin,b5192c59fb5c85a1a462d665178a0790,,0.6.2,[],[],[]
JiuZhou,NointegerDivision,a7894705e2095db6620b50527bc43255,,0.6.2,[],[],[]
JiuZhou,Overflow,6729294c7f924f186f54baf301a743af,,0.6.2,['integer overflow and underflow'],[101],[3]
JiuZhou,OverflowManully,600dba5747d401fe62d54decc1642cab,,0.6.2,[],[],[]
JiuZhou,Overwhelming,102a618824753eaad17a77509c445010,,0.6.2,['DOS by non-existent address or contract'],[113],[5]
JiuZhou,PreSentEther,a89df95beb41ba9c1d14b6eae1f99a5a,,0.6.2,['Pre-sent ether'],[132],[5]
JiuZhou,PushButNoPull,b0f34ed474d95b0acea675f02f9d3661,,0.6.2,['DOS by non-existent address or contract'],[113],[5]
JiuZhou,RevertError,e41c59a4fffd06867b4622dc84f6227f,,0.6.2,['Improper use of revert'],[],[10]
JiuZhou,SigWrongPara,1ba89f80d689bee67f579860b18bd57f,,0.6.2,['Signature with wrong parameter'],[122],[2]
JiuZhou,Single_NoHashCollision,5057afa55b2c888f155eab5bc771fdfa,,0.6.2,[],[],[]
JiuZhou,SplitReentrant,424c69bd0b1d3c4d153c99eddce01b27,,0.6.2,['Re-entrancy vulnerability'],[107],[1]
JiuZhou,SuicideEasily,2b1691f078e8931c315246fed178def2,,0.6.2,['Suicidal contract'],[106],[2]
JiuZhou,UncappedVersion,0577326ac4a685c6148dde8eac56236f,,0.4.21,['Unlimited compiler versions'],[103],[10]
JiuZhou,UncappedVersion1,9418c9859cbec47ca68d1b54a9e8c7ab,,0.4.21,['Unlimited compiler versions'],[103],[10]
JiuZhou,UninitStorage,0970ec7cf5331089986386e015e189a9,,0.4.26,['Uninitialized storage variable'],[109],[10]
JiuZhou,badDelegate,fecaf839766fc72798f0a61f3179f5f3,,0.6.2,['The call address or data are externally controlled'],[112],[2]
JiuZhou,gray_HardCodeAddress,362ebb645a4a9974a6fc143867e8ed3e,,0.6.2,[],[],[]
JiuZhou,gray_Hidden,c3859b84507fa2fbf7c7ceece30e6055,,0.6.2,[],[],[]
JiuZhou,gray_IntegerDivision,69871313774edb1613d0ad64deae5e68,,0.6.2,[],[],[]
JiuZhou,gray_IntegerSignednessError,bc0e67b3b5e3e965ee391609b34bf00a,,0.6.2,[],[],[]
JiuZhou,gray_LockedMoney,602aee08cf8f564d4b15d4593c7ea6c0,,0.6.2,[],[],[]
JiuZhou,gray_NestedCall,0cd3887e363031fd0f04b1d477509287,,0.6.2,[],[],[]
JiuZhou,gray_PullButNoPush,b6291d23f6e98fb512eab9cd94923dfd,,0.6.2,[],[],[]
JiuZhou,gray_SimpleDAO,b6648d695c4a1544b6aa5aa6c2d303b1,,0.6.2,[],[],[]
JiuZhou,gray_SuicideEasily,9a3c17d1fca688d370f89a3b0db3a272,,0.6.2,[],[],[]
JiuZhou,gray_Txorigin,afa0520ca5e6adb796fc677c4e953438,,0.6.2,[],[],[]
JiuZhou,gray_approve,46d789c307099cc99ffb4ca5ae32cca1,,0.6.2,[],[],[]
JiuZhou,gray_badDelegate,7374f067d212345bf7dab6882ec4fb70,,0.6.2,[],[],[]
JiuZhou,gray_badProxy,f3e3584c4408aab040759e9ea4033b94,,0.6.2,[],[],[]
JiuZhou,gray_controlledByMiners,e762f1f8c63f997e82cc6e3950ecf74c,,0.6.2,[],[],[]
JiuZhou,gray_deleteDynamic,34b5ca3f2fd9bbdb7a9a3bb61b63bca5,,0.6.2,[],[],[]
JiuZhou,gray_infiniteLoop,5dadf5a8d9e33a0a91b2a11dc9427b03,,0.6.2,[],[],[]
JiuZhou,gray_overwhelmning,98450ec75c430e9d01e8238a28e1b2f4,,0.6.2,[],[],[]
JiuZhou,gray_prodigal1,d386dc78c6e2567279871e6083d64096,,0.6.2,[],[],[]
JiuZhou,gray_prodigal2,eb988f63de4e33ed3c0216c2b3b84904,,0.6.2,[],[],[]
JiuZhou,gray_re_entrancy,560ed84c5c67a0d82a341905ba33741e,,0.6.2,[],[],[]
JiuZhou,gray_shadowingState,5e4dbf9415a4224c2e330aad62de61cf,,0.5.16,[],[],[]
JiuZhou,gray_timeDependence,b1d70f620b671dabb6f941c9c9fcecb1,,0.6.2,[],[],[]
JiuZhou,gray_truncationError,466347e17f5c522004fa67e6b41d53f7,,0.6.2,[],[],[]
JiuZhou,gray_unhandledException,354e9e12235b388203c335141b2eb91a,,0.6.2,[],[],[]
JiuZhou,gray_varIsNotSafe,ad89904519b1b25971fe6b3047868836,,0.4.26,[],[],[]
JiuZhou,hiddenSymbol,66c46209cfe6de4b1fe253c06763b809,,0.6.2,['Hidden built-in symbols'],[],[10]
JiuZhou,infiniteLoop,a7c4c78a08253d3b97a58085b3f2670d,,0.6.2,['DOS by gaslimit'],[128],[5]
JiuZhou,integerDivision,b66f5be274cc890909aa842c47d99652,,0.6.2,['Integer division'],[999],[3]
JiuZhou,lockedMoney,0613172bdabca2110b68a474022387b6,,0.6.2,['Locked money'],[132],[5]
JiuZhou,noApprove,80b24f62fdbb2922b8ba3a2af305c6f9,,0.6.2,[],[],[]
JiuZhou,noHiddenSymbol,9f21db84a1e54a13119c26153a2b7637,,0.6.2,[],[],[]
JiuZhou,noInheritance,30c4277562420df1acb319b42278b576,,0.5.16,[],[],[]
JiuZhou,privatePass,d5d543680c59c1f491a84bdb89c0a65a,,0.6.2,['Non-public variables are accessed by public or external function'],[136],[10]
JiuZhou,prodigal,82ea737c40b789654430a99df7e6247c,,0.6.2,['Wasteful contract'],[105],[2]
JiuZhou,re-entrancy,f26ed098ddfa730dd9cebaaaab1bceac,,0.6.2,['Re-entrancy vulnerability'],[107],[1]
JiuZhou,replayAttack1,a55fc952b9b88bc6b2132fefa5bec42a,,0.6.2,['Replay attack'],[117],[2]
JiuZhou,returnInCons,2c56aaa9755a0ec3fa4cc690269414a8,,0.6.2,['Use assembly code return in the constructor'],[996],[10]
JiuZhou,shadowingState,1cf4ed67642a496429b5e106368e4a23,,0.5.16,['Hide state variables'],[119],[10]
JiuZhou,shortAddressAttack,05a16bca48750b9ea9e52f8412b4cf63,,0.6.2,['Short address attack'],[995],[9]
JiuZhou,simpleDAO,cbe4e1a3be73b3d3cb151202c48ea35b,,0.6.2,['Re-entrancy vulnerability'],[107],[1]
JiuZhou,standarfTokenERC20,b091b1d45c1b7b7918c56827c719749a,,0.6.2,[],[],[]
JiuZhou,standarfTokenERC721,e2e9af11a568be36fd68ed1546ad4618,,0.5.16,[],[],[]
JiuZhou,timeDependence,816d6a19201b207309c5dbecfa2d7df6,,0.6.2,['Time affected by miners'],[116],[8]
JiuZhou,timeDependence1,d62613474ea7ae298987886ba3abd065,,0.6.2,['Time affected by miners'],[116],[8]
JiuZhou,tooManyDigits,cba789d9d45cf0a702b75e4cb9ca5d88,,0.6.2,['too many digits'],[],[10]
JiuZhou,truncationError,feda1a884bec87a72f8908de8e4e6bc4,,0.6.2,['Integer truncation'],[999],[3]
JiuZhou,underFlow,9c2be4429af8b87a8f2503f359c2f35f,,0.6.2,['integer overflow and underflow'],[101],[3]
JiuZhou,underFlowManully,07645408707f4f4bf4775fa41370f6f9,,0.6.2,[],[],[]
JiuZhou,unhandledException,d0e1632558ed52d924beb975f8c8bfcb,,0.6.2,['Unhandled exceptions'],[104],[4]
JiuZhou,uninitLocalVar,24e275cd428302d00544503d940ffdd0,,0.6.2,['Uninitialized local variables'],[],[10]
JiuZhou,uninitStateVar,8af84449b0a1b225c9bbc6667028f723,,0.6.2,['Uninitialized state variables'],[109],[10]
JiuZhou,unstandardERC20,5b95163f116e90cfe702a5e6aa99a04e,,0.6.2,['Nonstandard token interface'],[],[10]
JiuZhou,unstandardERC721,984a0864d656cc2eb6127ae45e35f72b,,0.5.16,['Nonstandard token interface'],[],[10]
JiuZhou,untrusted View and Constant,444702f3cb9069ca641b13c121b3ec93,,0.4.26,['Change the contract status in the view or constant function'],[],[10]
JiuZhou,varIsNotSafe,3b9d14aa628910698c544f9ae3162922,,0.4.26,['DOS by gaslimit'],[128],[5]
JiuZhou,wrongName,ef2cd59c2cd5a53ead775833d6320ea7,,0.6.2,['Non-standard naming'],[],[10]
JiuZhou,wrongOpe,8d493331742f4b9dc41130baa5fafd4d,,0.4.26,['Wrong operator'],[129],[10]
