dataset,id,chain,addr,contractname,fp_sol,fp_sol2,fp_bytecode,fp_runtime,property,SWC,DASP
SolidiFI,Overflow-Underflow-4,,,PHO,b7ab48206bb0a06aeda50deceddbeeca,1805ee54046332687b49c05dc31d5677,,,['Overflow-Underflow'],[101],[3]
JiuZhou,MissConstructor1,,,Missing,84eed6d15252786519030e276969c245,4837cd7d35fb165f2ca8ce1b2e8f83b6,eb487c18f0b8aa75011e5d1e09dc3500,4ebb606ed60d08e8291106d3eb9e12e9,['Write the wrong constructor name'],[118],[2]
SolidiFI,Overflow-Underflow-40,,,SimpleSwapCoin,420f1e83aba46adbdbb54457e2063152,2e56189a095a5ee9f9460e179813ac1f,,,['Overflow-Underflow'],[101],[3]
SolidiFI,Overflow-Underflow-41,,,AO,bceadcc140d54735bb49d5d0af2c7c80,b4cad0c8c99f50b42c13cee3f39f1edb,,,['Overflow-Underflow'],[101],[3]
SolidiFI,Overflow-Underflow-42,,,Staking,9a33d7fc8044fae9e5539a2a02a54636,53a625ff1542271018659826e0d80436,,,['Overflow-Underflow'],[101],[3]
SolidiFI,Overflow-Underflow-43,,,Post,6e906316f0492ecfb598521ff96015fd,b6cc38ecd1511a6fdbd0419953ae05df,,,['Overflow-Underflow'],[101],[3]
SolidiFI,Unchecked-Send-16,,,ExclusivePlatform,95af986af2c18b06a6d123fec7147dba,e8bb74a0b01690ba1c937301b1834ff9,,,['Unchecked-Send'],[104],[4]
SolidiFI,Overflow-Underflow-44,,,Feed,9ea743102e6c855d6cbb6f49fd06e6b8,b7d8228d1124042ca2b8e18b4b543442,,,['Overflow-Underflow'],[101],[3]
Doublade,0x3a630495c7611b4da41bf133554374caa3963b75-PornSceneToken-unexpectedrevert_result,,,PornSceneToken,6c9ab920b9cdadd878ae8b7096af7d99,513106f02fa9f9ce0bea6524c4353c42,,,['unexpectedrevert_result'],[113],[5]
SolidiFI,Unchecked-Send-17,,,AZT,17186f654d31fa50dc5f33c4eb221a23,0af57c0309530fa9a8b968ea8f940059,,,['Unchecked-Send'],[104],[4]
SolidiFI,Re-entrancy-27,,,DanPanCoin,5999c905982f6359350d2e4032618cdc,9c349512478d91e155963f5951450ede,,,['Re-entrancy'],[107],[1]
JiuZhou,ImplicitVisibility1,,,NoVisitLevel,ca4118c3ab32b2aed6bf817b4bafdee3,ceab7d25a0643e3e6e3bd6527f912038,d51ae1df5fcb91c0be3cdb9f6fecab39,83c269e9091c9e717c1737739c0ca2df,['Implicit visibility level'],[108],[2]
SolidiFI,Re-entrancy-12,,,Grand,e0c2386091ac375d74453bbb0eae8394,495e517805ff067feb34fc17a47e705e,,,['Re-entrancy'],[107],[1]
SolidiFI,Overflow-Underflow-45,,,StockBet,9ce5a7a2ef0c8c83b45196bdd10d3840,2f9c7cfce2a446c14b835450f999b5b6,,,['Overflow-Underflow'],[101],[3]
SolidiFI,Overflow-Underflow-46,,,ProofOfExistence,692b867f51eccbcd595c923fd9fbbff7,8164ea0568fe8832e8f197b790ab84cc,,,['Overflow-Underflow'],[101],[3]
SolidiFI,Overflow-Underflow-23,,,AGR,e96ac06cbc1f57f65cb97d5b9c94ad67,42673e6c683dd70370d7f8f6ad188919,,,['Overflow-Underflow'],[101],[3]
SolidiFI,Overflow-Underflow-47,,,AcunarIEO,1b3486dac06eb803b92f74b3f15e66e5,ddc8f7f73709fa400e5214003f1f0c84,,,['Overflow-Underflow'],[101],[3]
SolidiFI,Overflow-Underflow-48,,,QurasToken,d13fdf3c09cdc6be10c4a23c84872801,b9bdd8fe8457b8efb6853598dbcde0e5,,,['Overflow-Underflow'],[101],[3]
SolidiFI,Unchecked-Send-18,,,_Yesbuzz,188ab807816ab491981f51fb9c18ac69,87ad1859e2ac6d6f93d3208c1d178273,,,['Unchecked-Send'],[104],[4]
SolidiFI,Overflow-Underflow-49,,,TAMC,4a59c04698042db1d88c51de8ae1e12d,3db22c5b5ed91fc2c52becd53d3a8ca2,,,['Overflow-Underflow'],[101],[3]
JiuZhou,NoComplexFallback,,,gray_complexFallback,f41bfd87983745caa5d3a6fb8fb8f0f2,faee16036ea1b8ac62eaf933fcf17271,1fa4dc6772d1252962bc02a18261e3d5,80422de3ad018c3848bd9c6bff91e6f4,[],[],[]
SolidiFI,Overflow-Underflow-5,,,TTC,b7b273dcda5b51a458a63217bc707d65,0925c4eabecc8e11891bd4119e68a92e,,,['Overflow-Underflow'],[101],[3]
SolidiFI,Unchecked-Send-19,,,ethBank,ecc174f0c0503ec1b833e6b36c5a2525,0b201c9efaaa798044c54a452f5428e3,,,['Unchecked-Send'],[104],[4]
SolidiFI,Overflow-Underflow-50,,,digitalNotary,7dd18fb5fc95fc38b5c7d6442326b074,d92ceef48e5565f0d7055101e1b6dd0f,,,['Overflow-Underflow'],[101],[3]
SolidiFI,Overflow-Underflow-6,,,ChannelWallet,93eeb3f33cca12ca238bb958e8b6a15f,6b0f669f31bee3f82375859356d9ac7f,,,['Overflow-Underflow'],[101],[3]
Doublade,0x775a86858b77cbe7950bb307525a6459d6b01411-DSExec-reentrancy,,,DSExec,b9ae0ce221e3a700bdb751262a4e5aab,7c1104c2e5fd43d60086063a744f802c,,,['reentrancy'],[107],[1]
SolidiFI,Unchecked-Send-13,,,BitCash,77f7a4aeb42a2ba25d6b4f38c790d18e,b1ee5aa0feb006a68a630df2911f8416,,,['Unchecked-Send'],[104],[4]
SolidiFI,Unchecked-Send-2,,,CareerOnToken,1f077783b64869c567cbf82382954b7a,547e9607fae0aa352cce9c477e695e55,,,['Unchecked-Send'],[104],[4]
SolidiFI,Overflow-Underflow-7,,,AccountWallet,1b15a0a530394a1ff5768af418ebfecc,f89522f8dd093bd59d6dfeb3659f7c5b,,,['Overflow-Underflow'],[101],[3]
SolidiFI,Unchecked-Send-14,,,SaveWon,79423862b1d3535d13dc4a11e8bb4145,fe5c5d9b756482a9438ea2dfb4779113,,,['Unchecked-Send'],[104],[4]
JiuZhou,IntegerSignednessError,,,signednessError,f8d239d0de68cced8a4df21d91396edb,a3202ccbbdc6420fa907d45ee5df5b1e,b915cd437f35698b0b7616772f0d1e37,4ab802b30cdd77541544b162b0d2966b,['Integer signedness'],[999],[3]
SolidiFI,Unchecked-Send-21,,,StableDEX,e43d57a93a3b3c88f95bec0f5070f27b,97d45490349cd24bbaa711b1bbbe5891,,,['Unchecked-Send'],[104],[4]
SolidiFI,Unchecked-Send-22,,,MindsyncPlatform,6a42f80b124205bd4d78f997d8db5544,ccb457e316facab30e8ad361d06d8af4,,,['Unchecked-Send'],[104],[4]
SolidiFI,Overflow-Underflow-8,,,YFT,f0f27a563953c88c95031b53f4bde0dd,5e186a712ca0ade95175661c1ea61714,,,['Overflow-Underflow'],[101],[3]
SolidiFI,Unhandled-Exceptions-43,,,Post,0d8fa90a6d3b16bb345153356933a128,37a86a673e832ac6fd57b8c68e27e116,,,['Unhandled-Exceptions'],[104],[4]
SolidiFI,Overflow-Underflow-9,,,XLToken,331f0f3635feb0ea21054662ac82a35b,4826457aa9bd2b096178bf27f51b952b,,,['Overflow-Underflow'],[101],[3]
Doublade,0x07a5410e4d3ef9680137e0242ccdb78425cb6c43-TokenBase-selfdestruct_result,,,TokenBase,94211808f42e159952c0cad04f38e637,eb4f864224b9a9585cdfb3c927d41eea,,,[],[],[]
SolidiFI,Re-entrancy-1,,,HotDollarsToken,21985a992947eae31639ec0add23d5ab,944b069827442c0f2ccc0f5ec583e8f7,,,['Re-entrancy'],[107],[1]
SolidiFI,Unchecked-Send-23,,,AGR,e7e3f0903fafd53582326a487b1dfdbf,238546e68bcc46038e3e4180d3585cd6,,,['Unchecked-Send'],[104],[4]
SolidiFI,Re-entrancy-10,,,DocumentSigner,3b11e8a8b98e268d189768525b510d1f,7544bfc811561b0e9965c531e01c94aa,,,['Re-entrancy'],[107],[1]
SolidiFI,Re-entrancy-11,,,ForTheBlockchain,d7394b6244995de43d9542b937675520,0b4a2e983756fa592efc6d12910ce326,,,['Re-entrancy'],[107],[1]
SolidiFI,Re-entrancy-13,,,BitCash,b7467da073c5c80750ad5740fec17c8d,06f5b44ebd564b592e8c57b6aaef27ff,,,['Re-entrancy'],[107],[1]
SolidiFI,Unchecked-Send-24,,,FomoFeast,b6714bfd830a4ab912d6f9919031c632,ee4253ed8f7cb916068e806a8e202dc0,,,['Unchecked-Send'],[104],[4]
SolidiFI,Re-entrancy-14,,,SaveWon,9a24ad7a4968e769e3d990259f284c4d,77c524e58f691d14f6540c811fdd3237,,,['Re-entrancy'],[107],[1]
SolidiFI,Unhandled-Exceptions-44,,,Feed,f8c5b48c550e4b2b594f12daba0a187a,bda14b13e5058cd6821f2b0cbc91b5cd,,,['Unhandled-Exceptions'],[104],[4]
SolidiFI,Re-entrancy-15,,,MD,dde77fad873fc09aca4825971a6bf4ab,ffc4440dfa3d34bb97ae598e23291e42,,,['Re-entrancy'],[107],[1]
SolidiFI,Re-entrancy-16,,,ExclusivePlatform,3ab6356a5eb2c3c14897fc21ed6ebbcb,cadf9c8713b9e698955e879db6645fb6,,,['Re-entrancy'],[107],[1]
Doublade,0x903ec4ef3d003f05356f3890f13e53421fa4e42a-SelfDesctructionContract-selfdestruct_result,,,SelfDesctructionContract,a8803e8927f33ef1366c3367e5d71926,ff31882527c2eea5f64e29c2d7ea0167,,,[],[],[]
SolidiFI,Re-entrancy-17,,,AZT,39154ab86b53b8e3a39c30b84b130256,34729872bc7edc0169b0331e53d53888,,,['Re-entrancy'],[107],[1]
SolidiFI,Unchecked-Send-25,,,WhiteBetting,b08a61486f04d83f87538f14c3ced71f,b7f4f97e55a90c9a2ff803f546ead1b8,,,['Unchecked-Send'],[104],[4]
SolidiFI,Re-entrancy-18,,,_Yesbuzz,7f91af178547eb7e7335d5f6c42f6af1,87a5cab421ce3e758f75b5458290893f,,,['Re-entrancy'],[107],[1]
Doublade,0x07c1c8c2bce6290daa554118b7d208041615ce54-TokenSale-tx_result,,,TokenSale,6ddcf7e5e762cbd2fb9411dd6c4f5879,19d62ccf045e0d228c16fdd8ee4664c8,,,[],[],[]
JiuZhou,MissConstructor,,,MissConstructor,730f512b4e7a90ffb1776a2edd87101b,f4e27e88b2a031c21491958e279d0192,379e275a7b5d912590128cd161904368,a565a114a185362c9cf174f4c83f60fc,['Write the wrong constructor name'],[118],[2]
SolidiFI,Timestamp-Dependency-46,,,ProofOfExistence,36403a77c219b87b6a07f292f193def0,4bb61ffa8ebc17d7d3abb0c620e8b5f3,,,['Timestamp-Dependency'],[116],[8]
SolidiFI,Unchecked-Send-26,,,UBBCToken,3a2c9484999ca87c335e8e84801495a7,4ec9e72c080005ce1810b32c82be2aca,,,['Unchecked-Send'],[104],[4]
SolidiFI,Timestamp-Dependency-6,,,ChannelWallet,e3e0de127bf5f06f5bf34ef86c63ef4a,96d09d169149ba03a4111dbddbc36ec0,,,['Timestamp-Dependency'],[116],[8]
SolidiFI,Re-entrancy-19,,,ethBank,a952fd44dcf4befc7e95afb3090d9e5d,d10e20550d523c12dcf93d84f0c8b220,,,['Re-entrancy'],[107],[1]
SolidiFI,Re-entrancy-2,,,CareerOnToken,9d024234da3d1e8d51dfc757e20b9d04,2478ffb0b25efaed640b2aa548040218,,,['Re-entrancy'],[107],[1]
JiuZhou,ArbitraryFunctionType,,,FunctionTypes,505345e7fb02a545f62026df5b7ae895,1ceb7957ad23a650319fb180ffd524f8,3108c8d5eeec644f51a2f1e33207bf7a,494518608e4c788fa55b38bf3f49995b,['Any type of specified function variable'],[127],[10]
SolidiFI,Re-entrancy-20,,,RampInstantEthPool,d8fde2db7a33dfd514317f4d1be94f63,6bbe353b5936c33ef14c45bc4d2db837,,,['Re-entrancy'],[107],[1]
SolidiFI,Unchecked-Send-27,,,DanPanCoin,aeb5d235471b1595ebe5cc4edf30647d,e867fdb648782fdb3f62975f97269bc6,,,['Unchecked-Send'],[104],[4]
JiuZhou,NestedCall,,,NestedCall,68f13a52f8cf87ea0cb8d5d94ca1ca9b,44c611aca48b5d2bfba351413ae8befa,13982f34f87e168eee44e7f0d9ea3390,1e15846bd63aaadc7737e4340878f4c6,['DOS by gaslimit'],[128],[5]
JiuZhou,ArbitraryWrite,,,Wallet,91a61edc3f95d893a95cc83f31e2c85f,0c60a167d88f0c84e22e8df0231ca94c,a8cbb0fffaf891ac153d5cf5cf8345dc,c0d8033ccbb2a383f24da46727bb337b,['Storage overlap attack'],[124],[2]
SolidiFI,Unchecked-Send-48,,,QurasToken,9c585d2c5fe2448d1903691fc68ce565,91bee952c82ed0269ffea585e50856d3,,,['Unchecked-Send'],[104],[4]
SolidiFI,Re-entrancy-21,,,StableDEX,900eb56c1dc83e67fa00d073eb180fea,6575dc99b10b952bcecbf8314500085a,,,['Re-entrancy'],[107],[1]
JiuZhou,badProxy,,,Proxy,1ff0e80d13c4b745b35c863a71f92e50,1f771076e242fc0ffe59937535e09bd7,e2fc925e40214d60e5cac3ad5f0e8224,b9a1e6f2026ef0aced146b055ed12cbb,['The call address or data are externally controlled'],[112],[2]
JiuZhou,NoArbitraryFunctionType,,,NoFunctionTypes,2053861ae254da764cc355c599c738fb,600d3bfe7d58d8dff2e7b14c2d0571d2,9a99cd7358bd7cc93868f3311c316b56,762afeb53bd86b670fdf750a7dcaa9b5,[],[],[]
SolidiFI,Unchecked-Send-28,,,HYDROGEN,6708df2cb52036997e3d6e3dca966109,b8f96f44825f8a25752b24c51bb3df84,,,['Unchecked-Send'],[104],[4]
SolidiFI,Re-entrancy-22,,,MindsyncPlatform,1911c4c3b3a9a2814a7b7a52f1de6008,3db9e8b0a53f42cc66f5881668fd5e74,,,['Re-entrancy'],[107],[1]
SolidiFI,Re-entrancy-23,,,AGR,c3c24082822b14b25b98fa36f3d48677,1fc73cf0a531077e3aa4cf95614d5f29,,,['Re-entrancy'],[107],[1]
JiuZhou,AssertError,,,GasModel,bfde15c487502cceddb4c4778e3e6ec7,6151fa4f10853eeb7866b147d5c7e566,b0035007c29e38d8d8dff0cf027a160a,9ee2e7d1185c475e4fd069a1bbad1f82,['Improper use of assert'],[110],[10]
SolidiFI,Re-entrancy-24,,,FomoFeast,285cfbf16564f663dc5c45587896ac9b,01db1d690470e65ea2ce0891f0b5fa9d,,,['Re-entrancy'],[107],[1]
JiuZhou,BarRequireError,,,,03d0baf5a3e31dda5d1efe05d40658d8,19530d7f81f412da38efa6928c798950,952dcc5f61db9f140c8a34ae51469b42,ea4e2f74de3ed5cae520c7f93939c5ba,['Improper use of require'],[123],[10]
SolidiFI,Unhandled-Exceptions-45,,,StockBet,f1ea473a82f71ea6451d3e101175ffa8,41e7559af1b2cbe73841f6e1a75d3f09,,,['Unhandled-Exceptions'],[104],[4]
JiuZhou,NoAssertError,,,NoGasModel,b8fe1ff0ab2c71f9603024595e45a431,b82189aa6fd951b0a6dbaf74587d1f58,fcb6673fba28d06b97f22927cf814ed5,fbf4ba3a3703c0f10515e3bf45675a38,[],[],[]
SolidiFI,Unchecked-Send-29,,,RaffleTokenExchange,1ce0fc02d1818d9abede82a0d7a27e4b,df030bf61104dd41bfc9bc836d352326,,,['Unchecked-Send'],[104],[4]
SolidiFI,Re-entrancy-25,,,WhiteBetting,a2dff7010491759e2c1f399deb139cd4,5745b049e402fd880573adb8748889cc,,,['Re-entrancy'],[107],[1]
JiuZhou,BobAnswer,,,BobAnswer,df10621383b581bfcba0b0ba59b5968f,9cc664e5f3dc60c60a4ba0f73c4318b8,af2267f59eb724cb2f748e4578fc3522,fc8c177743efa40f4dabe25a1392f2c1,['Forced accept ethers'],[132],[5]
JiuZhou,NoBadDelegate,,,gray_Proxy,0345fd45c66b19acd3d1ea62659fe7c6,d11c49d7831db24aa700f2416789ba4b,096afece43092f22651c50f5ba3a9976,de8024b7229911d015d1238bbca80dad,[],[],[]
SolidiFI,Unchecked-Send-3,,,CareerOnToken,9253c4923698d75e40cf4d12f7904106,5ea80e6e8611021fe631ba75c772b91d,,,['Unchecked-Send'],[104],[4]
SolidiFI,Re-entrancy-26,,,UBBCToken,6663c325676a319e17e7376e58fb4157,38a2251ec03e44cf9ad3075a27b79cfa,,,['Re-entrancy'],[107],[1]
JiuZhou,ConstBalanceInLoop,,,waste1,a643d34bfd7cff34c3eb49200efc0206,99a13000221f1dd06a28824789e87eaa,96fb2ce1af7ffd7a291f5afa42a07e1c,de14e2b1ecfd969d8f5179f6cb1b94ad,['Invariant in loop'],[],[10]
SolidiFI,Unhandled-Exceptions-46,,,ProofOfExistence,b0943049dac6770c1fb794cfe1e570ba,6e5dd4a377fa035c1b9b6bb1eb7f76a7,,,['Unhandled-Exceptions'],[104],[4]
SolidiFI,Unchecked-Send-30,,,SKYBITToken,c93667344fa502cc7166f77c5edbfecc,05797a66568db32d06c275b03c2277ad,,,['Unchecked-Send'],[104],[4]
SolidiFI,Re-entrancy-28,,,HYDROGEN,c155eecdc6d42d9427b489da45d75627,c5be74468f7a7913be60f28653fbf765,,,['Re-entrancy'],[107],[1]
SolidiFI,Unchecked-Send-31,,,FeeTransactionManager,b0f60b7bb340548ad9dbf64f74a62546,f19edc1be628c239d7ea1c675912eccf,,,['Unchecked-Send'],[104],[4]
SolidiFI,Re-entrancy-29,,,RaffleTokenExchange,d8c55cf489dc15c17fcb741619f212a7,a06885f73dcebaf1242c4231685ed298,,,['Re-entrancy'],[107],[1]
SolidiFI,Unchecked-Send-32,,,AsseteGram,5d96130efb28b2af2d3b5c576ed7ca25,5153193b8be0242b453673007b77d5ce,,,['Unchecked-Send'],[104],[4]
SolidiFI,Unhandled-Exceptions-47,,,AcunarIEO,6e969d0f83987634a95f1fe68df3374e,c4983472fc1844fe6f2667ebdd47221f,,,['Unhandled-Exceptions'],[104],[4]
SolidiFI,Re-entrancy-3,,,CareerOnToken,a696db482f880685400450a308ac49c7,b18369a865e417c95b629224d304339b,,,['Re-entrancy'],[107],[1]
SolidiFI,Re-entrancy-30,,,SKYBITToken,59f084f924733e006acde4cee4656330,9433e4559174ddf5eb0f9458bb06d084,,,['Re-entrancy'],[107],[1]
SolidiFI,Re-entrancy-31,,,FeeTransactionManager,7071554947ea73a4bf62a37c06a8cea4,6e285efc0ef016ea5d5165e9b54da445,,,['Re-entrancy'],[107],[1]
SolidiFI,Unhandled-Exceptions-48,,,QurasToken,5f769b7bf671c77637d3129ef6439c07,4b90641025ce04043980bc2d4c897fa0,,,['Unhandled-Exceptions'],[104],[4]
SolidiFI,Re-entrancy-32,,,AsseteGram,dfb5e171d127be05bb85ece327756da5,ed4f4622cb9915ea92c494662ed60ec1,,,['Re-entrancy'],[107],[1]
SolidiFI,Re-entrancy-33,,,Staking,f73768e16680cd9fffd24f529e8a6083,5e7132a4c392f267de919f9e0f702c7b,,,['Re-entrancy'],[107],[1]
SolidiFI,Unhandled-Exceptions-49,,,TAMC,a02c9b58f83599f1ad9c63fab6b40381,f1aa95a0d7fc3e0ce3018fe5bb4fd848,,,['Unhandled-Exceptions'],[104],[4]
SolidiFI,Unhandled-Exceptions-5,,,TTC,1bcbb73f4dd99f5db6ed785dbed8d178,9fbe5f8cf799a0545202bcf8b670eca9,,,['Unhandled-Exceptions'],[104],[4]
JiuZhou,NoBadProxy,,,gray_Proxy,fe4740d612b8a1eb0c448692fd3b058d,eca35bc44ab6264543ce010f9402cdc4,622872eb72ba7f06ef4693a7cd8dcda0,c518f686c92c597c1ca8ff68717dbba7,[],[],[]
JiuZhou,NoBobAnswer,,,gray_BobAnswer,2a61232ba6dada64acfc1cea889e1489,4c342779de7e842bdf3f63901f17728e,16ff2d931934f3602bbedb97bbc6e79d,5d82ac13d3217d91262ada390db342c1,[],[],[]
SolidiFI,Re-entrancy-34,,,LollypopToken,fc2b88d194347a48a9f16fd4adebace9,93610abb979fadb0509cdd3566de299c,,,['Re-entrancy'],[107],[1]
JiuZhou,NoByte[],,,gray_waste2,5ce2c119b41d041966e8dfc7411075fc,6ee3f03a462762bec4264924a9f2f762,1d6f1f467fcdbd8a5979bcf18b9c7386,d32c7fd90819ed857bcbea2a1a194011,[],[],[]
JiuZhou,DangerousRandomNumbers,,,GuessTheRandomNumberChallenge,6a08c4751470fa5406cf416acf404220,303e0794110619391f4c378cafff8f97,cd5f62e99d2a5201b609a0752bca7bbf,35fc851014b20a27889c231a66cf9e36,['Randomness affected by miners'],[120],[6]
SolidiFI,Timestamp-Dependency-20,,,RampInstantEthPool,8a10228deb803c30587f986cd76a4506,5d0b4fd961b33b3d2a7d9ffe78b10143,,,['Timestamp-Dependency'],[116],[8]
SolidiFI,Unchecked-Send-33,,,Staking,b5d33826cf079ca957913c2e96f88ca7,c9d993e87300a8301828ff8177826137,,,['Unchecked-Send'],[104],[4]
SolidiFI,Unhandled-Exceptions-50,,,digitalNotary,45a7580871f0ad7885cb9cda6b703a82,87fb6697b84f3908e878e94648822efe,,,['Unhandled-Exceptions'],[104],[4]
JiuZhou,NoConstBalanceInLoop,,,NoWaste1,cae8328b3655792d4869b75f04a56804,7ee43655d232db7bfd3bd492c4e19288,054c01c823b046c301fe7d967965e5d6,90e7d2c065a31acbb8d53a05ccfe44d4,[],[],[]
JiuZhou,FalseOrder,,,,0e7d44697efe5ffbd4a6888f9254516c,79772812feb113e89182edcb4929b5dc,d7d9693f8cd3e406e32ba1710abbc831,0d23f87e62fc3d3b27595e65caae256e,['Incorrect inheritance order'],[125],[10]
SolidiFI,Unchecked-Send-34,,,LollypopToken,4e20de62cef6ee9903473fd879151107,afda9f46bae2e0156a24051477a0fc3d,,,['Unchecked-Send'],[104],[4]
SolidiFI,Re-entrancy-35,,,BitpayerDEX,89769572e52e5ae1fd945edd1ff81461,5f0d0bf0516cff6d896caabd921f9499,,,['Re-entrancy'],[107],[1]
SolidiFI,Unchecked-Send-35,,,BitpayerDEX,efd7ece9d97357eee3ee7bd746b1c858,4a0ef869b24b3c16fd5806e9d2fa7f0f,,,['Unchecked-Send'],[104],[4]
JiuZhou,badTxorigin,,,NobadTxorigin,cf25cfeec2c994df5c0da571fdc57328,a14b2be0f630ad6053b7323429600e69,dfbad433833b41e07b2807dff12321f5,02db6d72c7e895888f8e410848cc7e83,['Txorigin for authentication'],[115],[2]
SolidiFI,Unchecked-Send-37,,,AugustCoin,4c2765900748e57527062df0f52b9ee1,84f87d59efdceae1f1eb76e219cc0568,,,['Unchecked-Send'],[104],[4]
SolidiFI,Re-entrancy-37,,,AugustCoin,c95eab7cb390c02c35b58527b2853485,72114f07d4254d26f0b61b64e337c13c,,,['Re-entrancy'],[107],[1]
SolidiFI,Re-entrancy-38,,,BIGBOMBv2,95c4f52086e477c0f2334931a267301d,1b48632c0abf4a0c42a449b125f3f9af,,,['Re-entrancy'],[107],[1]
